-0.35353-0.003584i 0 0.35353-0.003778i -0.34358-0.003804i -0.36175+0.032796i 0.35347-0.007854i 0 0 0.35238-0.028828i 0.43892+0.00196i 0.23946-0.002401i 0
0.35353+0.003584i 0 0.35353-0.003778i 0.09928+0.00382i -0.48825+0.041681i -0.35347+0.007854i 0 0 0.35238-0.028828i -0.44842-0.003193i 0.22116-3.6e-05i 0
0 -0.5 0 0 0 0 -0.70588-0.040085i -0.011101-0.00063i 0 0 0 -0.5
-0.35353-0.003584i 0 0.35353-0.003778i 0.34358+0.003804i 0.36175-0.032796i 0.35347-0.007854i 0 0 0.35238-0.028828i -0.43892-0.00196i -0.23946+0.002401i 0
0.35353+0.003584i 0 0.35353-0.003778i -0.09928-0.00382i 0.48825-0.041681i -0.35347+0.007854i 0 0 0.35238-0.028828i 0.44842+0.003193i -0.22116+3.6e-05i 0
0 -0.5 0 0 0 0 0.70588+0.040085i 0.011101+0.00063i 0 0 0 -0.5
-0.35353-0.003584i 0 0.35353-0.003778i -0.48997-0.007339i -0.098767+0.010773i -0.35347+0.007854i 0 0 -0.35238+0.028828i -0.22116-0.00015i -0.44842+0.002961i 0
0.35353+0.003584i 0 0.35353-0.003778i -0.36316-0.007347i 0.34247-0.027889i 0.35347-0.007854i 0 0 -0.35238+0.028828i -0.23946-0.002525i 0.43892-0.001733i 0
0 -0.5 0 0 0 0 -0.011119 0.70702 0 0 0 0.5
-0.35353-0.003584i 0 0.35353-0.003778i 0.48997+0.007339i 0.098767-0.010773i -0.35347+0.007854i 0 0 -0.35238+0.028828i 0.22116+0.00015i 0.44842-0.002961i 0
0.35353+0.003584i 0 0.35353-0.003778i 0.36316+0.007347i -0.34247+0.027889i 0.35347-0.007854i 0 0 -0.35238+0.028828i 0.23946+0.002525i -0.43892+0.001733i 0
0 -0.5 0 0 0 0 0.011119 -0.70702 0 0 0 0.5
0.19696-0.00015i 0.35752+0.007431i 0.22747-0.012475i 0.3198-0.016435i -0.30911+0.002975i 0.17992+0.00147i 0.44624-0.021574i 0.13428+0.00124i 0.28868 0.46451+0.005217i 0.13067+0.000248i -0.13089-0.000444i
0.2112+0.00015i -0.34929-0.007431i -0.39092+0.036872i 0.1493-0.017409i 0.2706-0.001322i 0.18108+0.001469i 0.44501-0.021502i 0.1368+0.001236i 0.28868 -0.082755-0.000589i -0.22064-0.002899i 0.44098+0.000228i
0.40817 0.008224 -0.16346+0.024397i 0.4691-0.033844i -0.038512+0.001653i -0.17827-0.001465i -0.44613+0.021565i -0.13682-0.00124i -0.28868 0.38242+0.004653i -0.094672-0.002715i 0.30784-0.000215i
0.19696-0.00015i 0.35752+0.007431i 0.43513-0.036872i -0.093265+0.017409i 0.22428+0.001322i -0.46041-0.001317i -0.058789+0.002405i 0.1859-0.000104i 0.28868 -0.23861-0.003257i 0.018891+0.000814i 0.43898+0.000218i
